- invocation: True
  version: 3.0
  start: 2020-08-19T17:40:39.198-07:00
  duration: 743.788
  transformation: "VGG_model.py"
  derivation: "ID0000004"
  resource: "condorpool"
  wf-label: "Cats_and_Dogs"
  wf-stamp: "2020-08-19T19:26:57+00:00"
  interface: eth0
  hostaddr: 172.17.0.2
  hostname: 988fd6a92423
  pid: 52798
  uid: 550
  user: scitech
  gid: 808
  group: scitech-group
  umask: 0o0022
  mainjob:
    start: 2020-08-19T17:40:39.204-07:00
    duration: 743.782
    pid: 52802
    usage:
      utime: 732.059
      stime: 11.640
      maxrss: 929932
      minflt: 7442656
      majflt: 0
      nswap: 0
      inblock: 0
      outblock: 123656
      msgsnd: 0
      msgrcv: 0
      nsignals: 0
      nvcsw: 29397
      nivcsw: 51742
    status:
      raw: 0
      regular_exitcode: 0
    executable:
      file_name: /var/lib/condor/execute/dir_47934/VGG_model_py
      mode: 0o100755
      size: 2758
      inode: 3308371
      nlink: 1
      blksize: 4096
      blocks: 8
      mtime: 2020-08-19T17:40:32-07:00
      atime: 2020-08-19T17:40:35-07:00
      ctime: 2020-08-19T17:40:34-07:00
      uid: 550
      user: scitech
      gid: 808
      group: scitech-group
    argument_vector:
    procs:
  jobids:
    condor: 51.0
  cwd: /var/lib/condor/execute/dir_47934
  usage:
    utime: 0.001
    stime: 0.006
    maxrss: 2140
    minflt: 313
    majflt: 0
    nswap: 0
    inblock: 0
    outblock: 0
    msgsnd: 0
    msgrcv: 0
    nsignals: 0
    nvcsw: 1
    nivcsw: 0
  machine:
    page-size: 4096
    uname_system: linux
    uname_nodename: 988fd6a92423
    uname_release: 4.19.76-linuxkit
    uname_machine: x86_64
    ram_total: 6092952
    ram_free: 1921968
    ram_shared: 68
    ram_buffer: 374952
    swap_total: 1048572
    swap_free: 851028
    cpu_count: 6
    cpu_speed: 2600
    cpu_vendor: GenuineIntel
    cpu_model: Intel(R) Core(TM) i7-9750H CPU @ 2.60GHz
    load_min1: 1.36
    load_min5: 1.62
    load_min15: 1.86
    procs_total: 57
    procs_running: 2
    procs_sleeping: 26
    procs_zombie: 29
    procs_vmsize: 6340772
    procs_rss: 583476
    task_total: 128
    task_running: 2
    task_sleeping: 97
    task_zombie: 29
  files:
    model.h5:
      lfn: "model.h5"
      file_name: /var/lib/condor/execute/dir_47934/model.h5
      mode: 0o100644
      size: 63153536
      inode: 3308239
      nlink: 1
      blksize: 4096
      blocks: 123352
      mtime: 2020-08-19T17:52:05-07:00
      atime: 2020-08-19T17:52:05-07:00
      ctime: 2020-08-19T17:52:05-07:00
      uid: 550
      user: scitech
      gid: 808
      group: scitech-group
      output: True
      sha256: 9b6168395726ee509a6e19d6ed3f0807c9cc5b9e5b5ef9c8bfb10d95673132ac
      checksum_timing: 0.31
    stdin:
      file_name: /dev/null
      mode: 0o20666
      size: 0
      inode: 1226081
      nlink: 1
      blksize: 4096
      blocks: 0
      mtime: 2020-08-19T12:10:45-07:00
      atime: 2020-08-19T12:10:45-07:00
      ctime: 2020-08-19T12:10:45-07:00
      uid: 0
      user: root
      gid: 0
      group: root
    stdout:
      temporary_name: /var/lib/condor/execute/dir_47934/ks.out.X1b9hV
      descriptor: 3
      mode: 0o100600
      size: 59411
      inode: 3324172
      nlink: 1
      blksize: 4096
      blocks: 120
      mtime: 2020-08-19T17:53:02-07:00
      atime: 2020-08-19T17:40:39-07:00
      ctime: 2020-08-19T17:53:02-07:00
      uid: 550
      user: scitech
      gid: 808
      group: scitech-group
      data_truncated: false
      data: |
        Train on 432 samples, validate on 48 samples
        Epoch 1/3
        
          2/432 [..............................] - ETA: 3:53 - loss: 0.0510 - acc: 1.0000
          4/432 [..............................] - ETA: 3:35 - loss: 8.0846 - acc: 0.5000
          6/432 [..............................] - ETA: 3:30 - loss: 10.7624 - acc: 0.3333
          8/432 [..............................] - ETA: 3:29 - loss: 10.0866 - acc: 0.3750
         10/432 [..............................] - ETA: 3:30 - loss: 9.6811 - acc: 0.4000 
         12/432 [..............................] - ETA: 3:31 - loss: 9.4107 - acc: 0.4167
         14/432 [..............................] - ETA: 3:32 - loss: 8.0663 - acc: 0.5000
         16/432 [>.............................] - ETA: 3:29 - loss: 8.0654 - acc: 0.5000
         18/432 [>.............................] - ETA: 3:27 - loss: 8.9602 - acc: 0.4444
         20/432 [>.............................] - ETA: 3:25 - loss: 8.0642 - acc: 0.5000
         22/432 [>.............................] - ETA: 3:23 - loss: 8.0637 - acc: 0.5000
         24/432 [>.............................] - ETA: 3:23 - loss: 7.3917 - acc: 0.5417
         26/432 [>.............................] - ETA: 3:27 - loss: 7.4430 - acc: 0.5385
         28/432 [>.............................] - ETA: 3:29 - loss: 7.4870 - acc: 0.5357
         30/432 [=>............................] - ETA: 3:28 - loss: 8.0625 - acc: 0.5000
         32/432 [=>............................] - ETA: 3:32 - loss: 8.5659 - acc: 0.4688
         34/432 [=>............................] - ETA: 3:32 - loss: 8.5361 - acc: 0.4706
         36/432 [=>............................] - ETA: 3:31 - loss: 8.0619 - acc: 0.5000
